check_date,start_date,end_date,total_filtered_tickers,seq_gt_1_count,seq_gt_1_avg_distance,seq_gt_1_tickers,seq_eq_1_count,seq_eq_1_avg_distance,seq_eq_1_tickers,seq_eq_0_count,seq_eq_0_avg_distance,seq_eq_0_tickers,breakthrough_momentum_pct,failed_breakthrough_pct
2025-09-18,2025-09-01,2025-09-17,21,13,-6.60,"ABUS,AMRK,CENX,CMRE,DAKT,DK,ECVT,FUBO,MFH,NSSC,REAL,RR,SSRM",1,-0.47,CMRE,8,7.71,"AQST,ATRC,DSGN,GENI,ISPR,PLYM,TSHA,UCB",61.9,38.1
2025-09-19,2025-09-01,2025-09-18,27,14,-6.19,"ABUS,AQST,CENX,CIA,DAKT,DK,ECVT,EGAN,FUBO,MFH,NSSC,REAL,RR,SSRM",1,-1.94,AQST,13,4.96,"AMRK,ATRC,CBAN,CMRE,DSGN,ETNB,FORM,GENI,ISPR,NTLA,PLYM,TSHA,UCB",51.9,48.1
2025-09-20,2025-09-01,2025-09-19,27,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-21,2025-09-01,2025-09-20,27,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-22,2025-09-01,2025-09-21,27,16,-7.22,"ABUS,AMRK,AQST,CENX,CIA,DAKT,DK,EGAN,FORM,FUBO,MFH,NSSC,NTLA,REAL,RR,SSRM",0,0.0,,11,7.51,"ATRC,CBAN,CMRE,DSGN,ECVT,ETNB,GENI,ISPR,PLYM,TSHA,UCB",59.3,40.7
2025-09-23,2025-09-01,2025-09-22,27,16,-4.80,"ABUS,AMRK,AQST,CENX,CIA,DAKT,DK,EGAN,FORM,FUBO,MFH,NSSC,NTLA,REAL,RR,SSRM",1,-1.57,DK,11,7.50,"ATRC,CBAN,CMRE,DSGN,ECVT,ETNB,GENI,ISPR,PLYM,TSHA,UCB",59.3,40.7
2025-09-24,2025-09-01,2025-09-23,27,14,-2.38,"ABUS,AQST,CENX,CIA,CMRE,DAKT,DK,FORM,MFH,NSSC,NTLA,REAL,RR,SSRM",0,0.0,,13,4.76,"AMRK,ATRC,CBAN,DSGN,ECVT,EGAN,ETNB,FUBO,GENI,ISPR,PLYM,TSHA,UCB",51.9,48.1
2025-09-25,2025-09-01,2025-09-24,29,15,-3.29,"ABUS,AQST,CENX,CIA,CLPT,CMRE,DAKT,DK,FULC,MFH,NSSC,NTLA,REAL,RR,SSRM",1,-4.40,MFH,14,6.32,"AMRK,ATRC,CBAN,DSGN,ECVT,EGAN,ETNB,FORM,FUBO,GENI,ISPR,PLYM,TSHA,UCB",51.7,48.3
2025-09-26,2025-09-01,2025-09-25,30,17,-4.37,"ABUS,AQST,CENX,CIA,CLPT,DAKT,DK,DSGN,EGAN,FUBO,FULC,MFH,NSSC,NTLA,REAL,RR,SSRM",2,-0.62,"AQST,DSGN",13,4.37,"AMRC,AMRK,ATRC,CBAN,CMRE,ECVT,ETNB,FORM,GENI,ISPR,PLYM,TSHA,UCB",56.7,43.3
2025-09-27,2025-09-01,2025-09-26,31,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-28,2025-09-01,2025-09-27,31,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-09-29,2025-09-01,2025-09-28,31,18,-3.97,"ABUS,AQST,CENX,CLPT,DK,DSGN,EGAN,ERAS,FORM,FUBO,FULC,MFH,NSSC,NTLA,PLYM,REAL,RR,SSRM",1,-1.64,MFH,13,5.30,"AMRC,AMRK,ATRC,CBAN,CIA,CMRE,DAKT,ECVT,ETNB,GENI,ISPR,TSHA,UCB",58.1,41.9
2025-09-30,2025-09-01,2025-09-29,32,17,-5.95,"ABUS,AIRS,AQST,CENX,CLPT,DK,DSGN,ERAS,FORM,FULC,MFH,NSSC,NTLA,PLYM,REAL,RR,SSRM",0,0.0,,15,6.25,"AMRC,AMRK,ATRC,CBAN,CIA,CMRE,DAKT,ECVT,EGAN,ETNB,FUBO,GENI,ISPR,TSHA,UCB",53.1,46.9
2025-10-01,2025-09-01,2025-09-30,32,18,-3.90,"ABUS,AIRS,AMRC,AQST,CENX,CLPT,DK,DSGN,ERAS,FORM,FULC,MFH,NSSC,NTLA,PLYM,REAL,RR,SSRM",1,-5.09,AMRC,14,8.56,"AMRK,ATRC,CBAN,CIA,CMRE,DAKT,ECVT,EGAN,ETNB,FUBO,GENI,ISPR,TSHA,UCB",56.2,43.8
2025-10-02,2025-09-01,2025-10-01,33,20,-2.71,"ABUS,AIRS,AMRC,AQST,BTU,CENX,CLPT,DK,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,PLYM,REAL,RR,SSRM,TSHA",2,-2.21,"NTLA,TSHA",13,10.83,"AMRK,ATRC,CBAN,CIA,CMRE,DAKT,DSGN,ECVT,ETNB,FUBO,GENI,ISPR,UCB",60.6,39.4
2025-10-03,2025-09-01,2025-10-02,37,20,-6.51,"ABUS,AIRS,AMRC,AQST,BTU,CENX,CLPT,DK,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,PLYM,REAL,RR,SSRM,TSHA",4,-8.99,"CLPT,EGAN,MFH,RR",17,8.59,"AMRK,ANGO,ATRC,CBAN,CIA,CMRE,DAKT,DOCN,DSGN,ECVT,ETNB,FUBO,GENI,ISPR,OLMA,SKYT,UCB",54.1,45.9
2025-10-04,2025-09-01,2025-10-03,40,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-05,2025-09-01,2025-10-04,40,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-06,2025-09-01,2025-10-05,40,20,-6.40,"ABUS,AIRS,ALB,AMRC,AQST,BTU,CENX,CLPT,DK,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,REAL,RR,SSRM,TSHA",0,0.0,,20,7.77,"AMRK,ANGO,ATRC,CBAN,CIA,CMRE,DAKT,DOCN,DSGN,ECVT,ETNB,FUBO,GENI,ISPR,OLMA,PLYM,SKYT,TARA,TDOC,UCB",50.0,50.0
2025-10-07,2025-09-01,2025-10-06,42,22,-2.10,"ABUS,AIRS,ALB,AMRC,AQST,BTU,CENX,CLPT,DK,DSGN,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,REAL,RR,SSRM,TE,TSHA",0,0.0,,20,9.03,"AMRK,ANGO,ATRC,CBAN,CIA,CMRE,DAKT,DOCN,ECVT,ETNB,FUBO,GENI,ISPR,OLMA,PLYM,RIOT,SKYT,TARA,TDOC,UCB",52.4,47.6
2025-10-08,2025-09-01,2025-10-07,42,25,-3.97,"AIRS,ALB,AMRC,AMRK,AQST,BTU,CENX,CLPT,DK,DSGN,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,REAL,RIOT,RR,SSRM,TARA,TDOC,TE,TSHA",3,-2.70,"CENX,DK,TSHA",17,9.48,"ABUS,ANGO,ATRC,CBAN,CIA,CMRE,DAKT,DOCN,ECVT,ETNB,FUBO,GENI,ISPR,OLMA,PLYM,SKYT,UCB",59.5,40.5
2025-10-09,2025-09-01,2025-10-08,45,26,-3.79,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BTU,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,MFH,NSSC,NTLA,REAL,RIOT,RR,SSRM,TARA,TE,TSHA",2,-2.86,"AQST,DOCN",19,9.01,"ANGO,ATRC,BTBT,CBAN,CIA,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,HYLN,ISPR,OLMA,PLYM,SKYT,TDOC,UCB",57.8,42.2
2025-10-10,2025-09-01,2025-10-09,48,22,2.11,"AIRS,ALB,AMRC,AQST,BTU,CENX,CLPT,DK,DSGN,EGAN,ERAS,FORM,FULC,GLUE,MFH,NSSC,NTLA,RR,SSRM,TARA,TE,TSHA",0,0.0,,26,12.22,"ABUS,AMRK,ANGO,ATRC,BEAM,BTBT,CBAN,CIA,CMRE,DAKT,DOCN,ECVT,ETNB,FANG,FUBO,GENI,HUT,HYLN,ISPR,OLMA,PLYM,REAL,RIOT,SKYT,TDOC,UCB",45.8,54.2
2025-10-11,2025-09-01,2025-10-10,48,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-12,2025-09-01,2025-10-11,48,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-13,2025-09-01,2025-10-12,48,28,0.58,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BTU,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,REAL,RIOT,RR,SSRM,TARA,TE,TSHA",2,-3.75,"CENX,EGAN",20,12.98,"ANGO,ATRC,BEAM,BTBT,CBAN,CIA,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,HYLN,ISPR,OLMA,PLYM,SKYT,TDOC,UCB",58.3,41.7
2025-10-14,2025-09-01,2025-10-13,49,30,-0.45,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BTBT,BTU,CENX,CIA,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,REAL,RIOT,RR,SSRM,TARA,TE,TSHA",2,-2.53,"AIRS,TE",19,10.76,"ANGO,ATRC,BEAM,CBAN,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,HYLN,ISPR,OLMA,PLYM,RCUS,SKYT,TDOC,UCB",61.2,38.8
2025-10-15,2025-09-01,2025-10-14,51,32,1.31,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,BTBT,BTU,CENX,CIA,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,RCUS,REAL,RIOT,RR,SSRM,TARA,TE,TSHA",4,-4.70,"DOCN,GLUE,HUT,TARA",19,10.12,"ATRC,BBAI,BEAM,CBAN,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,HYLN,ISPR,LUNR,OLMA,PLYM,SKYT,TDOC,UCB",62.7,37.3
2025-10-16,2025-09-01,2025-10-15,57,29,6.92,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BTU,CENX,CIA,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,REAL,RR,SSRM,TARA,TDOC,TE,TSHA,VICR",0,0.0,,28,12.71,"ABSI,ANGO,ATRC,BBAI,BEAM,BTBT,CBAN,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,ISPR,LUNR,OLMA,PLYM,RCUS,RIOT,SES,SKYT,SKYX,UCB,XGN",50.9,49.1
2025-10-17,2025-09-01,2025-10-16,58,30,9.35,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BTU,CENX,CIA,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,PLYM,REAL,RR,SKYX,SSRM,TARA,TE,TSHA,VICR",0,0.0,,28,14.39,"ABSI,ANGO,ATRC,BBAI,BEAM,BTBT,CBAN,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,ISPR,LUNR,OLMA,RCUS,RIOT,SES,SKYT,TDOC,TERN,UCB,XGN",51.7,48.3
2025-10-18,2025-09-01,2025-10-17,59,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-19,2025-09-01,2025-10-18,59,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-20,2025-09-01,2025-10-19,59,35,5.78,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,BEAM,BTBT,BTU,CENX,CIA,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,RCUS,REAL,RIOT,RR,SKYX,SSRM,TARA,TE,TERN,TSHA,VICR",8,-4.09,"ATRC,BEAM,CENX,CIA,FORM,NTLA,SKYX,TARA",24,13.63,"ABSI,ATRC,BBAI,CBAN,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,ISPR,LUNR,OLMA,PLYM,SES,SGHT,SKYT,TDOC,UCB,XGN",59.3,40.7
2025-10-21,2025-09-01,2025-10-20,60,31,7.64,"ABUS,AIRS,ALB,AMRC,AMRK,AQST,BEAM,BTU,CENX,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",1,-0.49,REAL,29,14.70,"ABSI,ANGO,ATRC,BBAI,BTBT,CBAN,CIA,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,OLMA,PLYM,RIOT,SES,SKYT,TDOC,TERN,UCB,XGN",51.7,48.3
2025-10-22,2025-09-01,2025-10-21,60,29,15.16,"ABUS,AIRS,ALB,AMRC,ANGO,AQST,BTU,CENX,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,MFH,NSSC,NTLA,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",0,0.0,,30,18.99,"ABSI,ATRC,BBAI,BEAM,BTBT,CBAN,CIA,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HUT,HYLN,INDI,ISPR,LUNR,OLMA,PLYM,RIOT,SES,SKYT,TDOC,TERN,UCB,XGN",48.3,50.0
2025-10-23,2025-09-01,2025-10-22,62,34,9.41,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,AVDL,BALY,BEAM,BTU,CENX,CIA,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,MFH,NSSC,NTLA,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",2,-3.96,"DK,VICR",27,17.51,"ABSI,ATRC,BBAI,BTBT,CBAN,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HUT,HYLN,INDI,ISPR,LUNR,OLMA,PLYM,RIOT,SES,SKYT,TDOC,TERN,UCB",54.8,43.5
2025-10-24,2025-09-01,2025-10-23,63,37,8.36,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,AVDL,BALY,BEAM,BTU,CENX,CIA,CLPT,DK,DOCN,EGAN,ERAS,FORM,FULC,GLUE,HUT,MFH,NSSC,NTLA,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TDOC,TE,TSHA,VICR,XGN",3,-2.43,"AIRS,TDOC,XGN",26,14.45,"ABSI,ATRC,BBAI,BTBT,CBAN,CMRE,DAKT,DSGN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,OLMA,PLYM,RIOT,SES,SKYT,TERN,UCB,VTOL",58.7,41.3
2025-10-25,2025-09-01,2025-10-24,65,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-26,2025-09-01,2025-10-25,65,0,0.0,,0,0.0,,0,0.0,,0.0,0.0
2025-10-27,2025-09-01,2025-10-26,65,35,7.95,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,AVDL,BALY,BTU,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,LVS,MFH,NSSC,RCUS,REAL,RIOT,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",1,-7.79,GLUE,29,15.78,"ABSI,ATRC,BBAI,BEAM,BTBT,CBAN,CIA,CLOV,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,NTLA,OLMA,PLYM,SES,SKYT,TERN,UCB,VTOL,XGN",53.8,44.6
2025-10-28,2025-09-01,2025-10-27,65,33,8.62,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,AVDL,BALY,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,LVS,MFH,NSSC,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",3,-4.35,"FULC,REAL,SKYX",31,18.26,"ABSI,ATRC,BBAI,BEAM,BTBT,BTU,CBAN,CIA,CLOV,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,NTLA,OLMA,PLYM,SES,SKYT,TDOC,TERN,UCB,VTOL,XGN",50.8,47.7
2025-10-29,2025-09-01,2025-10-28,66,34,10.21,"ABUS,AIRS,ALB,AMRC,AMRK,ANGO,AQST,AVDL,BALY,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,LVS,MFH,NSSC,RCUS,REAL,RIOT,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",1,-7.82,FORM,32,18.14,"ABSI,ATRC,BBAI,BEAM,BTBT,BTU,CBAN,CIA,CLOV,CMRE,DAKT,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,NTLA,OLMA,PLYM,SES,SKYT,TDOC,TERN,UCB,VSAT,VTOL,XGN",51.5,48.5
2025-10-30,2025-09-01,2025-10-29,69,32,12.24,"ABUS,AIRS,ALB,AMRC,ANGO,AQST,AVDL,AXGN,BALY,CENX,CLPT,DK,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,LVS,MFH,NSSC,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR",0,0.0,,37,19.96,"ABSI,AMRK,ATRC,BBAI,BEAM,BTBT,BTU,CBAN,CIA,CLOV,CMRE,DAKT,DAN,DOCN,ECVT,ETNB,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,NTLA,OLMA,PLYM,PUMP,RIOT,SES,SKYT,TDOC,TERN,UCB,VSAT,VTOL,XGN",46.4,53.6
2025-10-31,2025-09-01,2025-10-30,69,33,11.37,"ABUS,AIRS,ALB,AMRC,ANGO,AQST,AVDL,BALY,CENX,CLPT,DK,DOCN,DSGN,EGAN,ERAS,FORM,FULC,GLUE,HUT,LVS,MFH,NSSC,RCUS,REAL,RR,SGHT,SKYX,SSRM,TARA,TE,TSHA,VICR,VSAT",0,0.0,,35,19.11,"ABSI,AMRK,ATRC,AXGN,BBAI,BEAM,BTBT,BTU,CBAN,CIA,CLOV,CMRE,DAKT,DAN,ECVT,FANG,FUBO,GENI,GETY,HYLN,INDI,ISPR,LUNR,NTLA,OLMA,PLYM,PUMP,RIOT,SES,SKYT,TDOC,TERN,UCB,VTOL,XGN",47.8,50.7
