ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
ACET,under_touch,2023-04-06,89.92,86.62,3.81,88350.2,1,0.78,8.72,-24.46,-96.19,60.35,,-0.18,9.96,14.77,-6.41,-90.81,18.15,-6.58,2.0,-1.07,1.0,0.26,True
ACET,under_touch,2023-05-24,91.36,96.5,-5.33,220.7,30,0.85,8.14,-3.22,-96.13,27.39,,-9.02,-0.7,-17.16,-56.04,-90.96,3.33,-26.8,1.0,-3.15,1.0,8.23,False
ACET,under_touch,2023-06-01,83.12,85.46,-2.74,29.0,4,1.35,9.31,-18.06,-96.48,27.9,,9.14,-12.8,-53.22,-48.6,-90.06,11.84,-61.88,2.0,1.25,1.0,13.7,False
ACET,under_touch,2023-06-07,91.36,85.28,7.13,933206.4,1,0.85,7.71,-15.16,-96.13,31.99,,-20.67,-23.47,-43.61,-58.84,-90.96,0.53,-65.32,2.0,-6.3,1.0,0.19,True
ACET,under_touch,2023-06-13,77.12,78.53,-1.8,620.8,1,1.89,9.22,-32.4,-96.74,29.37,,-4.15,-45.23,-32.99,-51.24,-89.29,3.73,-58.92,1.0,-6.02,1.0,2.61,False
ACET,under_touch,2023-06-20,69.12,81.03,-14.7,620.8,5,1.59,9.51,-31.21,-97.07,29.83,,-50.69,-26.85,-25.46,-52.31,-88.05,11.34,-54.16,1.0,6.94,2.0,17.47,False
ACET,under_touch,2023-06-23,75.68,69.31,9.19,1901.5,2,1.66,8.37,-17.16,-96.8,40.51,,-48.63,-28.54,-46.93,-60.04,-89.09,1.69,-58.14,2.0,-54.97,1.0,2.35,True
ACHR,upper_breakout,2022-08-04,4.55,4.39,3.56,-62.8,41,1.08,5.93,42.19,-75.54,6.99,1.0,5.05,-14.51,-23.96,-42.64,53.08,9.45,-27.03,4.0,-7.03,,,
ACHR,upper_breakout,2022-08-11,4.78,4.31,10.95,-62.8,46,4.65,6.8,60.94,-74.3,9.9,2.0,-18.62,-19.87,-26.78,-44.77,45.71,2.3,-30.54,4.0,-16.95,,,
ACHR,upper_breakout,2023-03-03,3.09,3.04,1.75,-58.9,140,1.22,5.32,-1.9,-83.39,5.14,1.0,-0.65,-17.8,-7.44,-34.3,125.4,4.85,-22.65,1.0,-2.27,,,
ACHR,upper_breakout,2023-05-17,2.93,2.71,7.96,-57.6,52,2.15,6.95,51.03,-84.25,4.82,1.0,3.75,2.05,51.88,80.2,137.71,66.55,-5.12,,,,,
ACHR,under_touch,2022-07-01,2.89,2.87,0.59,31.7,1,0.47,13.84,-40.29,-84.46,11.5,,4.15,12.8,44.29,23.53,141.0,44.64,-3.46,,,1.0,3.59,True
ACHR,under_touch,2022-07-13,2.99,2.9,3.28,31.7,8,0.4,10.97,-25.06,-83.92,11.2,,13.04,21.74,41.47,15.72,132.94,55.85,-4.01,,,2.0,1.56,True
ACHR,under_touch,2022-09-16,3.01,3.04,-1.13,31.7,54,3.31,6.22,-22.62,-83.82,4.19,,-6.98,-13.29,-9.97,-7.97,131.4,6.64,-16.94,1.0,-0.33,3.0,1.45,False
ACHR,under_touch,2022-09-22,2.89,2.88,0.39,18.6,57,1.1,6.48,-23.75,-84.46,4.05,,-7.61,-1.04,-7.27,-12.11,141.0,6.57,-13.49,1.0,-3.11,1.0,1.0,True
ACHR,under_touch,2022-09-29,2.67,2.7,-1.2,6.0,4,2.34,6.96,-24.58,-85.65,4.47,,7.12,3.0,4.49,-5.99,160.86,15.36,-6.37,1.0,-2.25,1.0,2.31,False
ACHR,under_touch,2022-10-03,2.72,2.61,4.21,0.0,1,0.79,6.72,-19.05,-85.38,4.65,,-3.68,4.41,4.78,-16.18,156.07,13.24,-7.35,,,1.0,4.21,True
ACHR,under_touch,2022-10-07,2.64,2.61,1.15,0.0,5,0.71,7.74,-24.57,-85.81,4.59,,2.65,4.55,3.41,-11.74,163.83,13.26,-4.55,,,2.0,0.0,True
ACHR,under_touch,2022-10-13,2.75,2.61,5.36,0.0,9,0.67,7.48,-13.25,-85.22,4.43,,-2.55,1.45,4.0,-22.18,153.27,8.73,-10.18,19.0,-9.45,3.0,2.3,True
ACHR,under_touch,2022-10-21,2.76,2.61,5.75,0.0,15,0.81,7.45,-1.43,-85.16,3.4,,4.35,-1.09,-10.51,-27.17,152.36,9.42,-13.77,13.0,-9.78,4.0,1.15,True
ACHR,under_touch,2022-11-07,2.66,2.61,1.92,0.0,26,0.72,6.42,1.53,-85.7,2.5,,-0.75,-10.9,-15.04,-19.17,161.84,13.53,-17.67,2.0,-6.39,5.0,0.38,True
ACHR,under_touch,2022-11-14,2.64,2.61,1.15,0.0,31,1.4,7.55,-7.04,-85.81,2.84,,-10.23,-13.64,-20.08,1.14,163.83,5.68,-21.97,2.0,-2.65,6.0,0.0,True
ACHR,under_touch,2022-11-18,2.47,2.61,-5.36,0.0,35,0.8,8.13,-10.51,-86.72,3.07,,-7.69,-5.67,-18.62,12.55,181.98,7.29,-19.03,1.0,-4.05,7.0,7.28,False
ACHR,under_touch,2022-11-21,2.37,2.46,-3.68,6569.3,1,1.59,8.35,-13.19,-87.26,3.11,,-3.8,-4.64,-17.72,18.57,193.88,11.81,-18.99,1.0,1.27,1.0,5.31,False
ACHR,under_touch,2022-11-25,2.51,2.44,2.78,190959.4,1,0.26,7.88,-10.04,-86.51,3.09,,1.2,-14.74,-28.29,2.39,177.49,5.58,-29.88,1.0,-9.16,1.0,0.09,True
ACHR,under_touch,2022-12-05,2.33,2.53,-7.83,844398.9,3,0.95,7.69,-14.65,-87.47,3.21,,-7.73,-13.73,-9.44,35.19,198.93,0.0,-30.47,1.0,-3.0,1.0,9.81,False
ACHR,under_touch,2022-12-07,2.21,2.26,-2.31,290.5,1,1.03,7.5,-18.75,-88.12,3.14,,-4.52,-12.67,4.07,28.96,215.16,4.98,-26.7,1.0,-2.71,1.0,3.63,False
ACHR,under_touch,2022-12-13,2.11,2.31,-8.72,290.5,5,0.91,7.31,-20.08,-88.66,2.92,,-7.58,-16.11,26.54,27.01,230.09,27.96,-23.22,1.0,0.0,2.0,10.02,False
ACHR,under_touch,2022-12-14,2.11,2.1,0.47,1041.4,1,0.82,7.14,-21.56,-88.66,2.8,,-8.53,-13.74,23.22,25.59,230.09,27.96,-23.22,1.0,-0.95,1.0,1.91,True
ACHR,under_touch,2023-02-08,2.72,2.76,-1.38,10089.9,28,0.95,8.01,15.74,-85.38,5.22,,6.62,5.15,4.04,-5.51,156.07,19.12,-5.51,1.0,-2.57,1.0,3.92,False
ACHR,under_touch,2023-02-10,2.68,2.66,0.66,5572.9,1,0.99,7.84,0.37,-85.59,5.03,,4.85,4.85,3.36,-0.75,159.89,20.9,-4.1,1.0,-1.12,1.0,3.09,True
ACHR,under_touch,2023-02-16,2.76,2.84,-2.77,5572.9,5,0.54,6.81,-0.72,-85.16,4.97,,-1.45,11.96,-7.97,-26.45,152.36,17.39,-8.7,1.0,1.81,2.0,3.12,False
