ticker,side,event_date,entry,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dist_hi_52w_pct,dist_lo_52w_pct,rsi14,dollar_vol_m,attempt_no,touch_no,ret_s10_none,days_s10_none,ret_s10_tp20,days_s10_tp20,ret_s10_tp40,days_s10_tp40,ret_s10_atr3x,days_s10_atr3x,ret_s10_atr4x,days_s10_atr4x,ret_s15_none,days_s15_none,ret_s15_tp20,days_s15_tp20,ret_s15_tp40,days_s15_tp40,ret_s15_atr3x,days_s15_atr3x,ret_s15_atr4x,days_s15_atr4x,ret_s20_none,days_s20_none,ret_s20_tp20,days_s20_tp20,ret_s20_tp40,days_s20_tp40,ret_s20_atr3x,days_s20_atr3x,ret_s20_atr4x,days_s20_atr4x
FIBK,upper,2026-08-03,38.57,0.84,-5.3,120,0.88,2.38,-2.06,-24.73,-5.0,39.75,53.4,48.96,4.0,,-3.3,4,-3.3,4,-3.3,4,-3.3,4,-3.3,4,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8,0.7,8
FIBK,upper,2026-08-12,38.53,0.89,-5.3,127,0.75,1.96,-2.08,-24.8,-5.1,33.14,54.2,50.13,5.0,,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1
FIBK,under,2020-01-24,39.27,0.13,18.7,103,1.09,1.56,-7.1,-16.54,-10.4,7.38,27.9,5.57,,1.0,-1.62,1,-1.62,1,-1.62,1,-1.62,1,-1.62,1,-2.27,3,-2.27,3,-2.27,3,-2.27,3,-2.27,3,-3.05,3,-3.05,3,-3.05,3,-3.05,3,-3.05,3
FIBK,under,2023-03-02,34.56,1.38,11.9,741,1.35,2.25,-5.57,-32.55,-25.42,6.67,35.3,19.64,,2.0,-3.4,5,-3.4,5,-3.4,5,-3.4,5,-3.4,5,-4.52,5,-4.52,5,-4.52,5,-4.52,5,-4.52,5,-5.65,5,-5.65,5,-5.65,5,-5.65,5,-5.65,5
FIGS,under,2022-09-07,11.22,2.45,72.5,78,1.78,7.66,-4.83,-77.74,-75.28,61.9,49.5,50.1,,15.0,-8.78,6,-8.78,6,-8.78,6,-8.78,6,-8.78,6,-12.4,7,-12.4,7,-12.4,7,-12.4,7,-12.4,7,-16.02,8,-16.02,8,-16.02,8,-16.02,8,-16.02,8
FIGS,under,2023-03-07,6.27,0.69,45.7,71,1.2,10.07,-32.07,-87.56,-73.8,12.97,29.8,29.0,,1.0,-9.56,8,-9.56,8,-9.56,8,-9.56,8,-9.56,8,30.62,60,20.0,42,30.62,60,30.21,45,30.62,60,30.62,60,20.0,42,30.62,60,30.21,45,30.62,60
FIGS,under,2023-04-04,6.48,1.0,45.7,91,0.96,4.37,3.35,-87.14,-72.92,16.76,48.4,21.6,,6.0,-5.2,1,-5.2,1,-5.2,1,-5.2,1,-5.2,1,-7.39,1,-7.39,1,-7.39,1,-7.39,1,-7.39,1,27.62,60,20.0,22,27.62,60,13.1,17,17.46,22
FIGS,under,2023-04-12,6.49,0.4,45.7,96,0.67,4.95,6.92,-87.12,-70.41,16.94,48.8,17.19,,7.0,18.18,60,20.0,17,18.18,60,14.86,17,19.81,17,18.18,60,20.0,17,18.18,60,14.86,17,19.81,17,18.18,60,20.0,17,18.18,60,14.86,17,19.81,17
FIGS,under,2023-04-18,6.52,0.26,45.7,100,1.19,4.92,11.64,-87.06,-66.48,17.48,49.6,15.89,,8.0,19.33,60,20.0,13,19.33,60,14.76,13,19.68,13,19.33,60,20.0,13,19.33,60,14.76,13,19.68,13,19.33,60,20.0,13,19.33,60,14.76,13,19.68,13
FIGS,under,2023-04-24,6.55,0.12,45.7,104,0.65,4.98,8.8,-87.0,-61.56,18.02,50.0,15.12,,9.0,13.13,60,20.0,9,13.13,60,14.95,9,19.93,9,13.13,60,20.0,9,13.13,60,14.95,9,19.93,9,13.13,60,20.0,9,13.13,60,14.95,9,19.93,9
