ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
ACA,פריצה,2022-09-06,57.21,51.49,68.65,100.0,2022-11-01,64.83,TIME,665.97,13.32,40
ALIT,תמיכה,2022-09-23,141.8,127.62,170.16,100.0,2022-11-01,170.16,TP,1000.0,20.0,27
BARK,תמיכה,2022-10-24,32.2,28.98,38.64,100.0,2022-11-01,38.64,TP,1000.0,20.0,6
CATY,פריצה,2022-09-07,41.37,37.23,49.64,100.0,2022-11-02,44.15,TIME,335.99,6.72,40
HBT,תמיכה,2022-09-13,17.66,15.89,21.19,100.0,2022-11-02,21.19,TP,999.43,19.99,36
BKKT,תמיכה,2022-10-12,52.75,47.48,63.3,100.0,2022-11-04,47.48,SL,-499.53,-9.99,17
SIBN,פריצה,2022-10-26,18.39,16.55,22.07,100.0,2022-11-04,16.55,SL,-500.27,-10.01,7
CBNK,פריצה,2022-09-12,25.22,22.7,30.26,100.0,2022-11-07,23.9,TIME,-261.7,-5.23,40
CSGS,פריצה,2022-09-12,57.28,51.55,68.74,100.0,2022-11-07,58.89,TIME,140.54,2.81,40
AVO,תמיכה,2022-09-14,15.45,13.9,18.54,100.0,2022-11-09,15.91,TIME,148.87,2.98,40
AMPY,פריצה,2022-10-25,9.35,8.41,11.22,100.0,2022-11-09,8.41,SL,-502.67,-10.05,11
DY,פריצה,2022-11-01,121.11,109.0,145.33,100.0,2022-11-09,109.0,SL,-499.96,-10.0,6
AGYS,פריצה,2022-10-24,54.98,49.48,65.98,100.0,2022-11-10,65.98,TP,1000.36,20.01,13
AEHR,פריצה,2022-11-03,19.0,17.1,22.8,100.0,2022-11-10,22.8,TP,1000.0,20.0,5
EMBC,פריצה,2022-10-12,28.09,25.28,33.71,100.0,2022-11-11,33.71,TP,1000.36,20.01,22
FLYW,פריצה,2022-11-09,18.98,17.08,22.78,100.0,2022-11-11,22.78,TP,1001.05,20.02,2
BGS,תמיכה,2022-11-10,15.08,13.57,18.1,100.0,2022-11-14,13.57,SL,-500.66,-10.01,2
DDS,פריצה,2022-11-07,325.12,292.61,390.14,100.0,2022-11-15,390.14,TP,999.94,20.0,6
GRND,פריצה,2022-11-11,10.51,9.46,12.61,100.0,2022-11-16,9.46,SL,-499.52,-9.99,3
