date,equity,open_positions,cash
2021-02-03,109250.17,20,6221.64
2021-02-04,110202.51,20,6221.64
2021-02-05,110982.68,20,7230.78
2021-02-08,112835.57,20,7230.78
2021-02-09,112383.69,20,7230.78
2021-02-10,112501.05,20,7230.78
2021-02-11,112501.42,20,6729.33
2021-02-12,112220.6,20,6729.33
2021-02-16,111992.21,20,6729.33
2021-02-17,111718.94,20,6729.33
2021-02-18,110224.71,20,6729.33
2021-02-19,111839.65,20,6729.33
2021-02-22,112283.73,20,7729.33
2021-02-23,112391.77,20,7729.33
2021-02-24,114088.29,20,7729.33
2021-02-25,112521.04,20,8730.36
2021-02-26,111816.82,20,8881.17
2021-03-01,114426.4,20,8881.17
2021-03-02,113066.96,20,8632.3
2021-03-03,114823.96,20,10633.51
2021-03-04,113739.91,20,10134.09
2021-03-05,116485.84,20,10134.09
2021-03-08,119222.81,20,11134.09
2021-03-09,119464.27,20,12133.84
2021-03-10,120966.31,20,14791.52
2021-03-11,122146.06,20,14791.52
2021-03-12,123045.39,20,14791.52
2021-03-15,123118.83,20,14791.52
2021-03-16,121567.66,19,20793.57
2021-03-17,121879.96,20,17226.54
2021-03-18,120397.55,20,18226.73
2021-03-19,120861.92,20,18226.73
2021-03-22,119783.17,20,18226.73
2021-03-23,117061.14,18,27273.0
2021-03-24,115637.97,20,17273.0
2021-03-25,117461.5,20,16772.52
2021-03-26,118760.93,20,16772.52
2021-03-29,117298.26,19,21297.46
2021-03-30,117846.88,20,16238.97
2021-03-31,117869.28,20,16238.97
2021-04-01,118555.56,20,16238.97
2021-04-05,119419.52,20,16238.97
2021-04-06,118819.06,20,16875.52
2021-04-07,117890.6,20,16875.52
2021-04-08,118988.51,20,16875.52
2021-04-09,118582.51,20,16875.52
2021-04-12,118322.13,20,16612.29
2021-04-13,117691.18,20,16612.29
2021-04-14,118496.6,20,16612.29
2021-04-15,118737.48,20,16612.29
2021-04-16,118427.78,20,16612.29
2021-04-19,117640.29,20,16612.29
2021-04-20,116186.57,20,16876.25
2021-04-21,117739.18,20,16876.25
2021-04-22,117660.42,20,16876.25
2021-04-23,118050.54,20,16876.25
2021-04-26,118079.59,20,17618.11
2021-04-27,117881.92,20,17618.11
2021-04-28,118337.16,20,18148.82
2021-04-29,118976.58,20,18843.83
2021-04-30,117876.05,18,28004.97
2021-05-03,118310.37,20,17505.11
2021-05-04,117841.27,20,16820.54
2021-05-05,117310.1,20,16820.54
2021-05-06,117342.26,20,17094.78
2021-05-07,118978.77,20,17094.78
2021-05-10,116728.33,20,16595.68
2021-05-11,115577.03,20,15595.79
2021-05-12,112648.89,19,20094.96
2021-05-13,114482.51,20,15094.96
2021-05-14,116419.44,20,15230.92
2021-05-17,116432.35,20,15230.92
2021-05-18,115542.23,20,15230.92
2021-05-19,114997.93,20,15882.38
2021-05-20,115504.62,20,15799.67
2021-05-21,115702.74,20,15976.05
2021-05-24,115608.59,20,14975.48
2021-05-25,113725.58,20,14975.48
2021-05-26,115228.17,20,14761.21
2021-05-27,116223.12,20,14761.21
2021-05-28,116141.56,20,14761.21
2021-06-01,117318.08,20,14761.21
2021-06-02,116545.46,20,14761.21
2021-06-03,116518.17,20,14761.21
2021-06-04,117010.2,20,14761.21
2021-06-07,117937.29,20,14761.21
2021-06-08,118269.36,20,15306.32
2021-06-09,117555.92,20,15306.32
2021-06-10,116570.95,20,16304.02
2021-06-11,117217.52,20,16304.02
2021-06-14,116159.57,20,16304.02
2021-06-15,115989.71,20,15803.63
2021-06-16,115868.48,20,15892.73
2021-06-17,113829.45,20,15392.57
2021-06-18,112505.97,20,14394.12
2021-06-21,113798.8,20,14394.12
2021-06-22,114050.53,20,14394.12
2021-06-23,114360.59,20,14394.12
2021-06-24,115318.82,20,14394.12
2021-06-25,116430.57,19,20347.96
2021-06-28,115517.75,20,15347.96
2021-06-29,114463.8,20,15314.37
2021-06-30,114659.83,20,14814.37
2021-07-01,115123.96,20,14814.37
2021-07-02,114330.84,20,14814.37
2021-07-06,113022.08,20,13814.62
2021-07-07,111958.5,20,13314.97
2021-07-08,110749.91,20,12446.09
2021-07-09,112415.41,20,12446.09
2021-07-12,112629.29,20,12275.69
2021-07-13,111418.48,20,12066.21
2021-07-14,110732.5,20,11566.21
2021-07-15,109871.83,20,10565.44
2021-07-16,109105.07,20,10565.44
2021-07-19,107467.54,20,9067.13
2021-07-20,109461.98,20,9067.13
2021-07-21,110382.34,20,9067.13
2021-07-22,109241.93,20,9067.13
2021-07-23,110319.77,20,9005.12
2021-07-26,109806.51,20,9005.12
2021-07-27,108480.61,20,7004.01
2021-07-28,109293.73,20,7004.01
2021-07-29,110001.32,20,7004.01
2021-07-30,109781.64,20,7004.01
2021-08-02,109312.2,20,7004.01
2021-08-03,109829.24,20,7503.52
2021-08-04,108182.79,20,7503.52
2021-08-05,108355.67,20,7503.52
2021-08-06,109328.7,20,8548.46
2021-08-09,109251.3,20,8548.46
2021-08-10,109541.78,20,8048.66
2021-08-11,109977.97,20,8048.66
2021-08-12,109804.55,20,8048.66
2021-08-13,109593.87,20,8272.84
2021-08-16,108447.16,20,7766.74
2021-08-17,107274.52,20,7766.74
2021-08-18,106605.85,20,7266.74
2021-08-19,105320.71,20,6265.87
2021-08-20,107439.1,20,6265.87
2021-08-23,108308.94,20,6492.53
2021-08-24,108881.46,20,6492.53
2021-08-25,109524.82,20,8492.53
2021-08-26,109519.4,20,8492.53
2021-08-27,111397.88,20,8492.53
2021-08-30,111153.05,20,9492.53
2021-08-31,111692.97,20,9959.31
2021-09-01,111994.18,20,10999.39
2021-09-02,112280.96,20,10999.39
2021-09-03,111664.67,20,10999.39
2021-09-07,111085.7,20,10968.31
2021-09-08,110208.28,20,10467.78
2021-09-09,109692.37,20,10265.19
2021-09-10,108027.57,20,9238.02
2021-09-13,108637.07,20,9238.02
2021-09-14,107285.16,20,9363.02
2021-09-15,107693.53,20,9363.02
2021-09-16,107567.27,20,9363.02
2021-09-17,106683.21,20,9363.02
2021-09-20,106124.67,20,8862.58
2021-09-21,105651.6,20,8862.58
2021-09-22,106657.48,20,8457.99
2021-09-23,109416.98,20,8457.99
2021-09-24,109683.74,20,7957.71
2021-09-27,110732.79,20,7957.71
2021-09-28,109334.45,20,7458.96
2021-09-29,109787.84,20,8814.29
2021-09-30,109142.93,20,8814.29
2021-10-01,111244.91,20,9314.86
2021-10-04,110444.73,20,8816.31
2021-10-05,110677.18,20,8316.69
2021-10-06,110088.99,20,8316.69
2021-10-07,111278.78,20,7816.69
2021-10-08,110175.87,20,7816.69
2021-10-11,110284.16,20,8599.33
2021-10-12,110494.01,20,8367.17
2021-10-13,110984.29,20,8367.17
2021-10-14,112181.47,20,8367.17
2021-10-15,111346.26,20,8367.17
2021-10-18,110374.09,20,7366.65
2021-10-19,110513.77,20,8692.87
2021-10-20,111001.97,20,8692.87
2021-10-21,111309.02,20,9120.63
2021-10-22,111467.36,20,9621.79
2021-10-25,112538.08,20,9621.79
2021-10-26,112048.37,20,9621.79
2021-10-27,109882.87,20,9597.09
2021-10-28,110933.37,20,8951.08
2021-10-29,110742.83,20,8951.08
2021-11-01,113484.55,20,9951.08
2021-11-02,113495.24,20,9951.08
2021-11-03,115850.59,20,10951.84
2021-11-04,116485.04,20,11626.82
2021-11-05,118077.6,20,12683.03
2021-11-08,117830.05,20,12683.03
2021-11-09,116230.56,20,13470.5
2021-11-10,116002.01,20,14470.5
2021-11-11,117034.14,20,14470.5
2021-11-12,117204.26,20,15470.5
2021-11-15,116785.45,20,15828.89
2021-11-16,116509.56,20,15828.89
2021-11-17,116111.51,20,16313.54
2021-11-18,115831.06,20,15311.94
2021-11-19,115020.69,20,15811.67
2021-11-22,115454.85,20,15811.67
2021-11-23,115109.34,20,14814.58
