ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
QTRX,under_touch,2026-05-07,2.75,3.33,-17.39,15881.2,5,3.27,10.56,-16.67,-97.03,3.19,,0.73,-4.0,20.0,45.45,4.0,46.36,-12.91,1.0,2.73,1.0,23.1,False
QTRX,under_touch,2026-05-18,2.52,2.56,-1.56,0.0,6,1.04,12.46,-23.64,-97.28,3.63,,6.35,38.89,21.43,57.14,13.49,59.72,-4.96,1.0,-0.4,1.0,2.93,False
QTRX,under_touch,2026-05-21,2.64,2.47,7.08,3770.7,1,1.16,11.07,-16.46,-97.15,3.92,,15.91,25.0,32.2,50.38,8.33,52.46,-2.08,16.0,17.42,1.0,1.64,True
QTRX,under_touch,2026-06-09,3.09,2.93,5.3,3770.7,13,0.67,10.44,10.36,-96.66,3.78,,-0.97,22.33,28.8,23.95,-7.44,47.9,-8.58,4.0,0.32,2.0,1.17,True
QTRX,under_touch,2026-06-15,3.1,3.11,-0.31,3770.7,17,0.98,10.41,12.73,-96.65,3.33,,3.87,39.35,36.77,-5.48,-7.74,47.42,-8.87,1.0,-1.29,3.0,0.96,False
QTRX,under_touch,2026-08-10,2.42,3.39,-28.69,379.9,54,6.13,13.84,-37.63,-97.39,1.6,,,,,,18.18,29.34,-2.48,1.0,8.47,1.0,36.65,False
QTRX,under_touch,2026-08-12,2.93,2.59,13.11,1582460395652.4,1,1.68,12.25,-30.9,-96.83,2.21,,,,,,-2.39,6.83,-2.73,,,1.0,4.65,True
RAMP,upper_breakout,2026-04-20,29.46,29.14,1.11,-18.9,227,0.77,3.75,10.84,-66.29,18.3,1.0,0.54,2.89,28.21,27.66,28.72,28.68,-5.97,3.0,-4.62,,,
RAMP,upper_breakout,2026-04-24,29.25,29.04,0.72,-18.9,231,0.59,3.88,12.89,-66.53,16.9,2.0,3.28,3.86,28.89,28.55,29.64,29.61,-5.21,12.0,-1.95,,,
RAMP,upper_breakout,2026-05-14,29.13,28.7,1.48,-18.9,245,1.24,3.43,3.22,-66.66,14.49,3.0,29.87,28.94,29.15,30.24,30.18,30.18,0.48,,,,,
RAMP,under_touch,2026-01-14,25.8,25.91,-0.44,18.0,194,1.5,3.04,-11.67,-70.47,13.91,,-0.08,-6.24,-10.0,8.33,46.98,1.74,-15.85,1.0,-0.7,1.0,1.64,False
