ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
ASIX,תמיכה,2025-10-30,18.58,16.72,22.3,65.3,2025-11-07,16.72,SL,-500.54,-10.01,5
ANIP,פריצה,2025-11-03,94.06,84.65,112.87,58.9,2025-11-07,84.65,SL,-500.21,-10.0,3
AIN,תמיכה,2025-11-05,54.59,49.13,65.51,57.7,2025-11-07,49.13,SL,-500.09,-10.0,1
CLPT,פריצה,2025-11-06,18.23,16.41,21.88,56.2,2025-11-07,16.41,SL,-499.18,-9.98,0
BIPC,פריצה,2025-09-15,40.49,36.44,48.59,60.1,2025-11-10,44.65,TIME,513.71,10.27,40
NPK,פריצה,2025-10-28,109.95,98.95,131.94,62.5,2025-11-10,98.95,SL,-500.23,-10.0,8
AESI,פריצה,2025-10-27,10.73,9.66,12.88,55.6,2025-11-12,9.66,SL,-498.6,-9.97,11
APPN,פריצה,2025-11-06,38.36,34.52,46.03,55.0,2025-11-12,46.03,TP,999.74,19.99,3
APGE,פריצה,2025-10-15,55.85,50.27,67.02,55.4,2025-11-14,67.02,TP,1000.0,20.0,21
KGS,פריצה,2025-09-24,35.49,31.94,42.59,58.8,2025-11-19,33.76,TIME,-243.73,-4.87,40
BOX,פריצה,2025-11-03,32.23,29.01,38.68,55.3,2025-11-19,29.01,SL,-499.53,-9.99,11
ADUS,פריצה,2025-09-26,117.34,105.61,140.81,64.9,2025-11-21,112.7,TIME,-197.72,-3.95,40
IE,פריצה,2025-11-10,13.15,11.84,15.78,56.3,2025-11-21,11.84,SL,-498.1,-9.96,8
LEU,פריצה,2025-11-19,264.27,237.84,317.12,55.8,2025-11-21,237.84,SL,-500.06,-10.0,1
CADE,פריצה,2025-09-29,37.83,34.05,45.4,65.3,2025-11-24,38.96,TIME,149.35,2.99,40
ACMR,פריצה,2025-11-24,32.01,28.81,38.41,55.7,2025-12-10,38.41,TP,999.69,19.99,10
ARTNA,פריצה,2025-10-15,33.3,29.97,39.96,65.2,2025-12-11,31.83,TIME,-220.72,-4.41,40
AMRC,פריצה,2025-12-11,32.11,28.9,38.53,65.3,2025-12-16,28.9,SL,-499.84,-10.0,2
ATI,פריצה,2025-11-21,96.47,86.82,115.76,57.9,2025-12-22,115.76,TP,999.79,20.0,19
ABCB,פריצה,2025-10-27,74.41,66.97,89.29,64.6,2025-12-23,76.42,TIME,135.06,2.7,40
CSR,פריצה,2025-10-30,59.25,53.33,71.1,64.5,2025-12-29,67.73,TIME,715.61,14.31,40
