ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,touch_no,pierce_depth_pct,closed_above,event_date_ts,status,spy_ret_20d,spy_above_ma200,confidence,drivers
TDS,under_touch,2026-08-07,32.98,33.28,-0.9,68.1,5,2.79,3.7,-3.4,-73.83,39.39,,1.0,5.32,0.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
ADTN,under_touch,2026-08-07,7.56,7.43,1.71,27.0,502,0.61,10.24,-43.75,-84.15,19.3,,1.0,0.44,1.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.4,משטר שוק (SPY>MA200) ↓ · ראן-אפ 20 יום ↓
ALHC,under_touch,2026-08-11,13.2,13.31,-0.8,59.5,7,0.81,9.47,-37.74,-53.83,74.53,,1.0,1.1,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
MQ,under_touch,2026-08-11,15.57,15.37,1.32,7.8,337,0.82,5.06,-3.47,-89.73,18.45,,8.0,0.0,1.0,,מתקרב,2.491254671933807,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↑
BKKT,under_touch,2026-08-11,7.37,7.15,3.13,11.6,17,1.55,6.88,-10.12,-99.42,6.99,,3.0,3.03,1.0,2026-08-11,2026-08-11,2.491254671933807,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
INGN,under_touch,2026-08-07,6.05,6.01,0.67,14.6,124,2.45,5.21,-7.49,-97.9,1.48,,3.0,6.6,1.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.4,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
LZ,under_touch,2026-08-11,5.44,5.46,-0.44,1.2,93,0.87,10.79,-27.18,-86.71,16.36,,3.0,0.44,0.0,2026-08-11,2026-08-11,2.491254671933807,1.0,51.3,משטר שוק (SPY>MA200) ↓ · ראן-אפ 20 יום ↓
SG,under_touch,2026-08-07,5.4,5.26,2.62,11.7,94,2.45,8.75,-35.41,-90.39,38.41,,3.0,4.98,1.0,2026-08-07,2026-08-07,2.4253261805417425,1.0,51.3,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
CIM,under_touch,2026-08-06,11.86,12.36,-4.08,18.8,10,1.56,2.62,-9.53,-96.0,8.5,,2.0,5.54,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,51.3,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
CCOI,under_touch,2026-08-06,10.91,10.97,-0.51,6.9,14,2.7,9.32,-13.69,-95.79,13.31,,1.0,7.94,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,51.3,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
BLBD,under_touch,2026-08-10,65.33,65.6,-0.4,79.3,337,2.11,5.92,-14.67,-21.66,35.66,,4.0,3.41,0.0,2026-08-10,2026-08-10,3.184857909419758,1.0,51.3,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
VERA,under_touch,2026-08-11,30.29,29.77,1.75,63.0,4,1.01,5.68,-29.77,-45.96,57.31,,1.0,0.0,1.0,,מתקרב,2.491254671933807,1.0,51.3,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
PSFE,under_touch,2026-08-10,7.14,6.97,2.38,41.6,35,1.23,6.58,-12.5,-96.96,1.79,,3.0,0.06,1.0,2026-08-10,2026-08-10,3.184857909419758,1.0,51.2,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
EBS,under_touch,2026-08-06,5.31,7.12,-25.45,91.4,4,5.11,7.38,-35.09,-96.14,4.43,,1.0,28.96,0.0,2026-08-06,2026-08-06,2.2415559191709455,1.0,51.0,משטר שוק (SPY>MA200) ↓ · מרחק מהשיא ↓
TWO,under_touch,2026-08-11,11.99,11.74,2.13,98.2,102,2.15,0.37,-0.99,-90.92,43.26,,2.0,0.0,1.0,,מתקרב,2.491254671933807,1.0,49.5,משטר שוק (SPY>MA200) ↓ · מחזור דולרי ↓
