Date,Portfolio Value
2022-06-14,2714.90
2022-06-15,2910.07
2022-06-16,2554.78
2022-06-17,2649.45
2022-06-21,2849.30
2022-06-22,2838.78
2022-06-23,2960.32
2022-06-24,3270.03
2022-06-27,3192.89
2022-06-28,2901.89
2022-06-29,2907.73
2022-06-30,2804.89
2022-07-01,2850.46
2022-07-05,2997.72
2022-07-06,3054.99
2022-07-07,3244.32
2022-07-08,3259.51
2022-07-11,3051.48
2022-07-12,2962.66
2022-07-13,2943.96
2022-07-14,2974.35
2022-07-15,3130.95
2022-07-18,3058.49
2022-07-19,3326.13
2022-07-20,3493.25
2022-07-21,3641.68
2022-07-22,3451.18
2022-07-25,3399.75
2022-07-26,3194.06
2022-07-27,3592.59
2022-07-28,3695.44
2022-07-29,3898.79
2022-08-01,3892.95
2022-08-02,3856.72
2022-08-03,4165.25
2022-08-04,4224.86
2022-08-05,4124.35
2022-08-08,4082.28
2022-08-09,3942.03
2022-08-10,4265.76
2022-08-11,4201.48
2022-08-12,4438.73
2022-08-15,4545.08
2022-08-16,4515.87
2022-08-17,4359.26
2022-08-18,4388.48
2022-08-19,4131.36
2022-08-22,3806.46
2022-08-23,3793.61
2022-08-24,3822.82
2022-08-25,4023.84
2022-08-26,3534.16
2022-08-29,3425.47
2022-08-30,3310.93
2022-08-31,3250.16
2022-09-01,3253.67
2022-09-02,3118.10
2022-09-06,3046.81
2022-09-07,3226.79
2022-09-08,3279.38
2022-09-09,3487.41
2022-09-12,3614.80
2022-09-13,3019.93
2022-09-14,3087.71
2022-09-15,2932.27
2022-09-16,2875.01
2022-09-19,2943.96
2022-09-20,2873.84
2022-09-21,2716.06
2022-09-22,2615.56
2022-09-23,2490.50
2022-09-26,2456.61
2022-09-27,2458.95
2022-09-28,2602.70
2022-09-29,2382.98
2022-09-30,2257.93
2022-10-03,2414.54
2022-10-04,2638.93
2022-10-05,2638.93
2022-10-06,2572.31
2022-10-07,2278.97
2022-10-10,2207.68
2022-10-11,2120.03
2022-10-12,2115.35
2022-10-13,2256.76
2022-10-14,2053.41
2022-10-17,2255.60
2022-10-18,2311.69
2022-10-19,2283.64
2022-10-20,2245.08
2022-10-21,2404.02
2022-10-24,2485.83
2022-10-25,2635.42
2022-10-26,2461.29
2022-10-27,2325.72
2022-10-28,2536.08
2022-10-31,2448.43
2022-11-01,2372.47
2022-11-02,2127.04
2022-11-03,2004.32
2022-11-04,2097.82
2022-11-07,2164.44
2022-11-08,2211.18
2022-11-09,2056.92
2022-11-10,2506.87
2022-11-11,2649.45
2022-11-14,2579.33
2022-11-15,2683.34
2022-11-16,2574.65
2022-11-17,2554.78
2022-11-18,2552.45
2022-11-21,2475.31
2022-11-22,2579.33
2022-11-23,2656.46
2022-11-25,2601.53
2022-11-28,2487.00
2022-11-29,2427.39
2022-11-30,2753.46
2022-12-01,2768.66
2022-12-02,2735.93
2022-12-05,2598.02
2022-12-06,2433.24
2022-12-07,2404.02
2022-12-08,2489.34
2022-12-09,2441.42
2022-12-12,2530.24
2022-12-13,2609.71
2022-12-14,2547.77
2022-12-15,2295.33
2022-12-16,2227.55
2022-12-19,2135.22
2022-12-20,2125.87
2022-12-21,2218.20
2022-12-22,2061.35
2022-12-23,2067.22
2022-12-27,1979.08
2022-12-28,1899.17
2022-12-29,2033.14
2022-12-30,2033.14
2023-01-03,1987.31
2023-01-04,2017.86
2023-01-05,1922.67
2023-01-06,2073.10
2023-01-09,2116.58
2023-01-10,2172.99
2023-01-11,2281.11
2023-01-12,2316.37
2023-01-13,2362.21
2023-01-17,2375.13
2023-01-18,2286.99
2023-01-19,2215.30
2023-01-20,2396.29
2023-01-23,2553.77
2023-01-24,2538.49
2023-01-25,2519.69
2023-01-26,2665.41
2023-01-27,2741.80
2023-01-30,2577.27
2023-01-31,2692.44
2023-02-01,2866.38
2023-02-02,3162.53
2023-02-03,2999.18
2023-02-06,2922.79
2023-02-07,3103.77
2023-02-08,2936.89
2023-02-09,2858.15
2023-02-10,2799.39
2023-02-13,2932.19
2023-02-14,2995.65
2023-02-15,3062.64
2023-02-16,2887.53
2023-02-17,2825.24
2023-02-21,2626.63
2023-02-22,2628.98
2023-02-23,2694.79
2023-02-24,2558.47
2023-02-27,2613.70
2023-02-28,2600.78
2023-03-01,2537.31
2023-03-02,2598.43
2023-03-03,2757.08
2023-03-06,2768.83
2023-03-07,2665.41
2023-03-08,2701.85
2023-03-09,2559.64
2023-03-10,2453.87
2023-03-13,2506.76
2023-03-14,2677.17
2023-03-15,2715.95
2023-03-16,2931.02
2023-03-17,2887.53
2023-03-20,2918.09
2023-03-21,3041.49
2023-03-22,2918.06
2023-03-23,3022.11
2023-03-24,3052.85
2023-03-27,2990.19
2023-03-28,2940.53
2023-03-29,3101.33
2023-03-30,3185.28
2023-03-31,3341.35
2023-04-03,3317.70
2023-04-04,3284.60
2023-04-05,3179.37
2023-04-06,3243.21
2023-04-10,3236.12
2023-04-11,3173.45
2023-04-12,3089.51
2023-04-13,3266.86
2023-04-14,3247.94
2023-04-17,3251.49
2023-04-18,3253.85
2023-04-19,3246.76
2023-04-20,3171.09
2023-04-21,3177.00
2023-04-24,3158.08
2023-04-25,2979.55
2023-04-26,3029.21
2023-04-27,3273.95
2023-04-28,3340.17
2023-05-01,3330.71
2023-05-02,3242.03
2023-05-03,3178.18
2023-05-04,3142.71
2023-05-05,3335.44
2023-05-08,3362.63
2023-05-09,3297.60
2023-05-10,3404.01
2023-05-11,3432.39
2023-05-12,3396.92
2023-05-15,3448.94
2023-05-16,3461.95
2023-05-17,3586.10
2023-05-18,3778.82
2023-05-19,3752.81
2023-05-22,3791.83
2023-05-23,3645.22
2023-05-24,3586.10
2023-05-25,3845.03
2023-05-26,4135.89
2023-05-30,4193.83
2023-05-31,4108.70
2023-06-01,4257.68
2023-06-02,4353.45
2023-06-05,4362.91
2023-06-06,4358.18
2023-06-07,4135.89
2023-06-08,4277.78
2023-06-09,4329.80
2023-06-12,4550.90
2023-06-13,4652.59
2023-06-14,4751.90
2023-06-15,4918.62
2023-06-16,4824.03
2023-06-20,4800.38
2023-06-21,4608.55
2023-06-22,4761.58
2023-06-23,4620.41
2023-06-26,4437.73
2023-06-27,4657.19
2023-06-28,4685.66
2023-06-29,4653.63
2023-06-30,4863.59
2023-07-03,4896.81
2023-07-05,4893.25
2023-07-06,4778.18
2023-07-07,4729.55
2023-07-10,4733.11
2023-07-11,4800.72
2023-07-12,4978.66
2023-07-13,5226.58
2023-07-14,5221.84
2023-07-17,5366.56
2023-07-18,5494.68
2023-07-19,5494.68
2023-07-20,5109.15
2023-07-21,5064.07
2023-07-24,5084.24
2023-07-25,5186.25
2023-07-26,5132.87
2023-07-27,5088.98
2023-07-28,5364.19
2023-07-31,5374.86
2023-08-01,5333.35
2023-08-02,4984.59
2023-08-03,4949.00
2023-08-04,4880.20
2023-08-07,5001.20
2023-08-08,4873.08
2023-08-09,4710.57
2023-08-10,4731.92
2023-08-11,4637.02
2023-08-14,4791.23
2023-08-15,4644.14
2023-08-16,4489.93
2023-08-17,4338.09
2023-08-18,4317.92
2023-08-21,4526.70
2023-08-22,4506.54
2023-08-23,4718.87
2023-08-24,4408.08
2023-08-25,4512.47
2023-08-28,4613.30
2023-08-29,4907.49
2023-08-30,4989.34
2023-08-31,5034.41
2023-09-01,5016.62
2023-09-05,5029.67
2023-09-06,4896.81
2023-09-07,4790.05
2023-09-08,4804.28
2023-09-11,4967.98
2023-09-12,4809.03
2023-09-13,4856.48
2023-09-14,4970.36
2023-09-15,4715.31
2023-09-18,4725.99
2023-09-19,4697.52
2023-09-20,4494.51
2023-09-21,4238.53
2023-09-22,4241.51
2023-09-25,4298.06
2023-09-26,4106.38
2023-09-27,4131.38
2023-09-28,4231.39
2023-09-29,4240.91
2023-10-02,4342.12
2023-10-03,4112.33
2023-10-04,4279.01
2023-10-05,4233.77
2023-10-06,4446.89
2023-10-09,4512.37
2023-10-10,4586.19
2023-10-11,4683.82
2023-10-12,4629.05
2023-10-13,4454.03
2023-10-16,4604.05
2023-10-17,4560.00
2023-10-18,4367.12
2023-10-19,4250.44
2023-10-20,4058.75
2023-10-23,4094.47
2023-10-24,4209.96
2023-10-25,3901.59
2023-10-26,3674.19
2023-10-27,3726.58
2023-10-30,3846.83
2023-10-31,3902.78
2023-11-01,4104.00
2023-11-02,4321.88
2023-11-03,4474.27
2023-11-06,4525.47
2023-11-07,4652.86
2023-11-08,4661.20
2023-11-09,4550.47
2023-11-10,4854.07
2023-11-13,4810.02
2023-11-14,5112.43
2023-11-15,5126.72
2023-11-16,5135.05
2023-11-17,5138.63
2023-11-20,5321.98
2023-11-21,5225.54
2023-11-22,5286.26
2023-11-24,5260.07
2023-11-27,5244.59
2023-11-28,5286.26
2023-11-29,5267.21
2023-11-30,5223.16
2023-12-01,5267.21
2023-12-04,5117.20
2023-12-05,5154.10
2023-12-06,5062.43
2023-12-07,5274.35
2023-12-08,5337.46
2023-12-11,5473.18
2023-12-12,5605.34
2023-12-13,5802.98
2023-12-14,5793.46
2023-12-15,5862.51
2023-12-18,5985.14
2023-12-19,6074.44
2023-12-20,5805.77
2023-12-21,5997.74
2023-12-22,6022.26
2023-12-26,6132.30
2023-12-27,6164.60
2023-12-28,6149.05
2023-12-29,6064.13
2024-01-02,5756.73
2024-01-03,5572.54
2024-01-04,5479.24
2024-01-05,5499.58
2024-01-08,5830.89
2024-01-09,5869.16
2024-01-10,5985.18
2024-01-11,6013.89
2024-01-12,6021.07
2024-01-16,6017.48
2024-01-17,5913.42
2024-01-18,6166.99
2024-01-19,6523.42
2024-01-22,6549.73
2024-01-23,6627.48
2024-01-24,6736.32
2024-01-25,6755.46
2024-01-26,6631.07
2024-01-29,6826.03
2024-01-30,6689.68
2024-01-31,6296.17
2024-02-01,6518.64
2024-02-02,6846.36
2024-02-05,6811.68
2024-02-06,6772.21
2024-02-07,6974.34
2024-02-08,7003.05
2024-02-09,7208.77
2024-02-12,7123.85
2024-02-13,6786.56
2024-02-14,7001.85
2024-02-15,7060.46
2024-02-16,6866.70
2024-02-20,6707.62
2024-02-21,6623.89
2024-02-22,7196.81
2024-02-23,7131.03
2024-02-26,7121.46
2024-02-27,7165.72
2024-02-28,7049.70
2024-02-29,7219.54
2024-03-01,7550.85
2024-03-04,7461.15
2024-03-05,7061.66
2024-03-06,7192.03
2024-03-07,7512.58
2024-03-08,7183.66
2024-03-11,7099.93
2024-03-12,7401.34
2024-03-13,7229.11
2024-03-14,7170.50
2024-03-15,6908.56
2024-03-18,7103.52
2024-03-19,7152.56
2024-03-20,7405.55
2024-03-21,7501.57
2024-03-22,7517.17
2024-03-25,7440.35
2024-03-26,7370.74
2024-03-27,7435.55
2024-03-28,7388.74
2024-04-01,7434.35
2024-04-02,7235.11
2024-04-03,7283.12
2024-04-04,6939.85
2024-04-05,7184.70
2024-04-08,7189.50
2024-04-09,7263.92
2024-04-10,7073.08
2024-04-11,7405.55
2024-04-12,7047.87
2024-04-15,6693.80
2024-04-16,6695.00
2024-04-17,6446.55
2024-04-18,6331.32
2024-04-19,5938.84
2024-04-22,6111.68
2024-04-23,6384.13
2024-04-24,6446.55
2024-04-25,6343.32
2024-04-26,6634.99
2024-04-29,6714.20
2024-04-30,6329.52
2024-05-01,6193.29
2024-05-02,6422.54
2024-05-03,6805.42
2024-05-06,7028.67
2024-05-07,7028.67
2024-05-08,7015.47
2024-05-09,7053.87
2024-05-10,7101.88
2024-05-13,7148.69
2024-05-14,7281.92
2024-05-15,7617.99
2024-05-16,7571.18
2024-05-17,7554.38
2024-05-20,7710.41
2024-05-21,7750.02
2024-05-22,7745.22
2024-05-23,7629.99
2024-05-24,7843.64
2024-05-28,7928.86
2024-05-29,7763.22
2024-05-30,7513.57
2024-05-31,7505.17
2024-06-03,7578.38
2024-06-04,7634.79
2024-06-05,8095.69
2024-06-06,8086.09
2024-06-07,8056.08
2024-06-10,8141.30
2024-06-11,8309.34
2024-06-12,8637.00
2024-06-13,8775.03
2024-06-14,8902.26
2024-06-17,9225.13
2024-06-18,9229.93
2024-06-20,9012.68
2024-06-21,8929.87
2024-06-24,8627.40
2024-06-25,8915.46
2024-06-26,8971.01
2024-06-27,9036.07
2024-06-28,8893.90
2024-07-01,9039.68
2024-07-02,9316.79
2024-07-03,9545.70
2024-07-05,9834.85
2024-07-08,9899.91
2024-07-09,9921.60
2024-07-10,10232.44
2024-07-11,9560.16
2024-07-12,9715.58
2024-07-15,9787.87
2024-07-16,9795.10
2024-07-17,8933.66
2024-07-18,8799.92
2024-07-19,8561.37
2024-07-22,8934.86
2024-07-23,8838.48
2024-07-24,7885.47
2024-07-25,7622.83
2024-07-26,7840.90
2024-07-29,7886.68
2024-07-30,7564.99
2024-07-31,8226.44
2024-08-01,7633.67
2024-08-02,7077.05
2024-08-05,6460.19
2024-08-06,6621.63
2024-08-07,6408.38
2024-08-08,6995.12
2024-08-09,7090.30
2024-08-12,7138.49
2024-08-13,7657.77
2024-08-14,7671.02
2024-08-15,8248.12
2024-08-16,8269.81
2024-08-19,8590.29
2024-08-20,8537.28
2024-08-21,8654.14
2024-08-22,8238.48
2024-08-23,8497.52
2024-08-26,8248.12
2024-08-27,8318.00
2024-08-28,8036.08
2024-08-29,7993.91
2024-08-30,8266.19
2024-09-03,7511.98
2024-09-04,7448.13
2024-09-05,7472.22
2024-09-06,6866.21
2024-09-09,7121.63
2024-09-10,7313.19
2024-09-11,7779.45
2024-09-12,8009.57
2024-09-13,8114.39
2024-09-16,8005.96
2024-09-17,8010.77
2024-09-18,7905.96
2024-09-19,8503.54
2024-09-20,8449.32
2024-09-23,8511.97
2024-09-24,8632.46
2024-09-25,8662.60
2024-09-26,8846.32
2024-09-27,8694.03
2024-09-30,8761.71
2024-10-01,8390.65
2024-10-02,8422.07
2024-10-03,8402.74
2024-10-04,8698.86
2024-10-07,8412.41
2024-10-08,8777.43
2024-10-09,8988.94
2024-10-10,8957.52
2024-10-11,8980.48
2024-10-14,9210.13
2024-10-15,8842.69
2024-10-16,8837.86
2024-10-17,8864.45
2024-10-18,9021.58
2024-10-21,9071.14
2024-10-22,9097.73
2024-10-23,8677.11
2024-10-24,8883.79
2024-10-25,9033.67
2024-10-28,9042.13
2024-10-29,9292.32
2024-10-30,9085.64
2024-10-31,8394.27
2024-11-01,8573.16
2024-11-04,8493.39
2024-11-05,8816.10
2024-11-06,9531.64
2024-11-07,9977.64
2024-11-08,10001.82
2024-11-11,9983.69
2024-11-12,9929.30
2024-11-13,9885.78
2024-11-14,9676.68
2024-11-15,8976.86
2024-11-18,9158.16
2024-11-19,9341.88
2024-11-20,9331.00
2024-11-21,9422.86
2024-11-22,9457.91
2024-11-25,9501.42
2024-11-26,9648.88
2024-11-27,9415.61
2024-11-29,9656.14
2024-12-02,9969.18
2024-12-03,10057.42
2024-12-04,10424.86
2024-12-05,10339.04
2024-12-06,10604.95
2024-12-09,10357.17
2024-12-10,10244.76
2024-12-11,10792.29
2024-12-12,10578.36
2024-12-13,10805.59
2024-12-16,11275.77
2024-12-17,11124.68
2024-12-18,9922.05
2024-12-19,9781.84
2024-12-20,10035.66
2024-12-23,10314.31
2024-12-24,10724.17
2024-12-26,10701.13
2024-12-27,10265.81
2024-12-30,9853.53
2024-12-31,9595.24
2025-01-02,9534.61
2025-01-03,9991.76
2025-01-06,10332.50
2025-01-07,9775.92
2025-01-08,9783.20
2025-01-10,9316.35
2025-01-13,9219.34
2025-01-14,9186.60
2025-01-15,9807.45
2025-01-16,9607.37
2025-01-17,10081.49
2025-01-21,10248.83
2025-01-22,10646.56
2025-01-23,10712.04
2025-01-24,10519.24
2025-01-27,9596.46
2025-01-28,10022.08
2025-01-29,9960.23
2025-01-30,10085.13
2025-01-31,10030.56
2025-02-03,9788.05
2025-02-04,10143.34
