date,equity,open_positions,cash
2026-03-31,101360.55,13,35525.58
2026-04-01,102079.26,13,35525.58
2026-04-02,101951.29,13,35525.58
2026-04-06,102456.12,13,36524.97
2026-04-07,102709.59,13,36524.97
2026-04-08,104855.04,13,36524.97
2026-04-09,105915.83,13,36524.97
2026-04-10,105723.66,13,36524.97
2026-04-13,105873.63,13,36524.97
2026-04-14,106761.02,13,36524.97
2026-04-15,106666.04,12,42525.73
2026-04-16,106542.33,12,42525.73
2026-04-17,108881.24,11,48525.82
2026-04-20,108935.14,11,48525.82
2026-04-21,108129.93,11,48525.82
2026-04-22,107260.68,11,48525.82
2026-04-23,107296.82,11,48525.82
2026-04-24,107432.65,11,48525.82
2026-04-27,107592.65,10,54525.78
2026-04-28,107558.11,9,59424.32
2026-04-29,106302.95,9,59424.32
2026-04-30,107051.35,8,64613.84
2026-05-01,106958.06,7,69766.08
2026-05-04,106369.66,7,69766.08
2026-05-05,107001.42,7,69766.08
2026-05-06,107757.75,6,75487.44
2026-05-07,107693.62,6,75487.44
2026-05-08,108879.59,4,87488.81
2026-05-11,108656.27,4,87488.81
2026-05-12,108565.56,2,98137.27
2026-05-13,108361.23,2,98137.27
2026-05-14,108472.65,2,98137.27
2026-05-15,108370.51,2,98137.27
2026-05-18,108621.27,2,98137.27
2026-05-19,108578.22,2,98137.27
2026-05-20,108730.28,1,103171.03
2026-05-21,108736.44,1,103171.03
2026-05-22,108673.72,1,103171.03
2026-05-26,108699.49,1,103171.03
2026-05-27,108678.05,0,108678.05
2026-05-28,108678.05,0,108678.05
2026-05-29,108678.05,0,108678.05
2026-06-01,108678.05,0,108678.05
2026-06-02,108678.05,0,108678.05
2026-06-03,108678.05,0,108678.05
2026-06-04,108678.05,0,108678.05
2026-06-05,108678.05,0,108678.05
2026-06-08,108678.05,0,108678.05
2026-06-09,108678.05,0,108678.05
2026-06-10,108678.05,0,108678.05
2026-06-11,108678.05,0,108678.05
2026-06-12,108678.05,0,108678.05
2026-06-15,108678.05,0,108678.05
2026-06-16,108678.05,0,108678.05
2026-06-17,108678.05,1,103678.05
2026-06-18,108398.88,1,103678.05
2026-06-22,108178.23,0,108178.23
2026-06-23,108178.23,2,98178.23
2026-06-24,108253.83,3,93178.23
2026-06-25,108279.9,3,93178.23
2026-06-26,108525.79,3,93178.23
2026-06-29,108280.31,3,93178.23
2026-06-30,108291.49,3,93178.23
2026-07-01,108597.17,4,88178.23
2026-07-02,108622.46,4,88178.23
2026-07-06,108928.21,6,78178.23
2026-07-07,108273.25,5,82678.92
2026-07-08,108014.19,5,82678.92
2026-07-09,108293.11,5,82678.92
2026-07-10,108504.09,5,82678.92
2026-07-13,108998.35,5,82678.92
2026-07-14,108965.8,5,82678.92
2026-07-15,109281.5,5,82678.92
2026-07-16,110079.69,4,88678.78
2026-07-17,109956.95,3,94678.78
2026-07-20,109915.49,3,94678.78
2026-07-21,109923.86,4,89678.78
2026-07-22,109831.21,4,89678.78
2026-07-23,109787.78,4,89678.78
2026-07-24,110087.75,4,89678.78
2026-07-27,110179.65,4,89678.78
2026-07-28,110387.19,4,89678.78
2026-07-29,110134.78,4,89678.78
2026-07-30,110273.24,5,84678.78
2026-07-31,110563.37,5,84678.78
2026-08-03,111146.93,5,84678.78
2026-08-04,111507.29,5,84678.78
2026-08-05,111651.98,5,84678.78
2026-08-06,111737.23,5,84678.78
2026-08-07,111771.35,5,84678.78
2026-08-10,111397.54,5,84678.78
2026-08-11,111512.0,5,84678.78
2026-08-12,111697.19,5,84678.78
2026-08-13,111785.04,5,84678.78
2026-08-14,111799.48,5,84678.78
